target_N,angle_deg,eta_mean,eta_std,eta_n,dT_mean,dT_std,dT_n
20.0,0.0,0.7375375375375376,0.03411945354314832,3,5.933333333333334,1.4294521094927712,3
20.0,30.0,0.6428968253968255,0.05862661131298515,3,7.266666666666667,1.2503332889007368,3
20.0,60.0,0.6085034013605443,0.07100291050382294,3,8.466666666666667,2.11974841274462,3
20.0,90.0,0.5402514317045154,0.08017387977388206,3,10.766666666666666,2.030599254735736,3
20.0,120.0,0.4801344537815126,0.025206117334987285,3,12.800000000000002,0.9643650760992947,3
37.5,0.0,0.7884444444444445,0.07983687071726903,3,7.933333333333334,2.993882651897588,3
37.5,30.0,0.7768888888888889,0.05234642440652601,3,8.366666666666667,1.962990915244727,3
37.5,60.0,0.6877539682539683,0.016885910571021845,3,11.699999999999998,0.8185352771872438,3
37.5,90.0,0.6361111111111111,0.026369876191790747,3,14.233333333333334,0.7371114795832004,3
37.5,120.0,0.58,0.03132491021535417,3,16.8,1.2529964086141667,3
55.0,0.0,0.8894545454545454,0.0246388794421599,3,5.666666666666667,1.006644591369433,3
55.0,30.0,0.8006060606060607,0.02441604494361662,3,10.966666666666667,1.3428824718989127,3
55.0,60.0,0.7080464195946307,0.012179893193473342,3,16.233333333333334,1.1150485789118485,3
55.0,90.0,0.687330384335829,0.010856685017154042,3,17.633333333333333,0.5507570547286098,3
55.0,120.0,0.6216666666666667,0.01641476300299353,3,22.099999999999998,2.0074859899884747,3
