cycle,step_index,angle_deg,measured,force_mean,force_std,n_samples,t_measure_start_unix,t_measure_end_unix
1,0,0,False,,,,,
1,1,15,True,13.052198,0.514401,182,1770971426.916839,1770971428.924435
1,2,30,True,27.824044,0.618818,183,1770971432.025638,1770971434.034806
1,3,0,False,,,,,
1,4,-15,True,22.668681,0.714071,182,1770971442.192086,1770971444.199002
1,5,-30,True,26.802732,1.031292,183,1770971447.300458,1770971449.309383
5,0,0,False,,,,,
5,1,15,True,7.960440,0.339281,182,1770971465.636132,1770971467.647153
5,2,30,True,20.221978,1.469792,182,1770971470.748714,1770971472.756001
5,3,0,False,,,,,
5,4,-15,True,22.551099,0.231674,182,1770971480.912645,1770971482.921064
5,5,-30,True,29.051099,0.807406,182,1770971486.022215,1770971488.027994
10,0,0,False,,,,,
10,1,15,True,9.632044,0.618125,181,1770971503.385728,1770971505.391055
10,2,30,True,26.568681,0.549090,182,1770971508.492341,1770971510.500723
10,3,0,False,,,,,
10,4,-15,True,18.009392,1.388512,181,1770971518.657478,1770971520.658055
10,5,-30,True,27.665000,0.436911,180,1770971523.759688,1770971525.765452
15,0,0,False,,,,,
15,1,15,True,11.966298,0.358426,181,1770971540.567603,1770971542.573414
15,2,30,True,22.606044,0.558428,182,1770971545.674918,1770971547.686517
15,3,0,False,,,,,
15,4,-15,True,18.506111,0.288352,180,1770971555.844059,1770971557.848980
15,5,-30,True,26.330939,0.298391,181,1770971560.950552,1770971562.957523
20,0,0,False,,,,,
20,1,15,True,8.898895,0.585281,181,1770971577.264991,1770971579.273292
20,2,30,True,27.094505,0.525770,182,1770971582.374862,1770971584.379229
20,3,0,False,,,,,
20,4,-15,True,17.028177,0.932459,181,1770971592.536167,1770971594.536417
20,5,-30,True,26.623204,0.564617,181,1770971597.638204,1770971599.638247
40,0,0,False,,,,,
40,1,15,True,9.117033,0.750901,182,1770971624.287688,1770971626.291275
40,2,30,True,26.035359,0.464720,181,1770971629.392575,1770971631.393919
40,3,0,False,,,,,
40,4,-15,True,16.750276,0.856389,181,1770971639.551179,1770971641.559296
40,5,-30,True,25.790608,0.816816,181,1770971644.660949,1770971646.665178
60,0,0,False,,,,,
60,1,15,True,7.529670,0.361854,182,1770971670.437603,1770971672.443511
60,2,30,True,23.872778,0.429867,180,1770971675.544715,1770971677.545953
60,3,0,False,,,,,
60,4,-15,True,18.620879,0.144907,182,1770971685.702864,1770971687.705955
60,5,-30,True,26.869444,0.597583,180,1770971690.807491,1770971692.810290
80,0,0,False,,,,,
80,1,15,True,8.145856,0.415193,181,1770971715.280238,1770971717.284911
80,2,30,True,23.433516,0.399347,182,1770971720.386360,1770971722.396493
80,3,0,False,,,,,
80,4,-15,True,17.817033,0.981197,182,1770971730.553570,1770971732.561124
80,5,-30,True,26.010440,0.674517,182,1770971735.662728,1770971737.670108
100,0,0,False,,,,,
100,1,15,True,9.040884,0.204090,181,1770971760.693667,1770971762.695655
100,2,30,True,27.705495,0.491668,182,1770971765.797103,1770971767.805226
100,3,0,False,,,,,
100,4,-15,True,17.301105,0.556775,181,1770971775.962532,1770971777.967150
100,5,-30,True,27.146409,0.317369,181,1770971781.068767,1770971783.069174
200,0,0,False,,,,,
200,1,15,True,9.496133,0.461443,181,1770971858.873141,1770971860.877116
200,2,30,True,26.310440,0.336788,182,1770971863.978185,1770971865.986185
200,3,0,False,,,,,
200,4,-15,True,18.134254,0.514607,181,1770971874.143550,1770971876.147996
200,5,-30,True,25.723204,0.327978,181,1770971879.249458,1770971881.253748
400,0,0,False,,,,,
400,1,15,True,7.890110,0.660747,182,1770971991.373792,1770971993.383434
400,2,30,True,25.454396,0.736242,182,1770971996.484774,1770971998.492960
400,3,0,False,,,,,
400,4,-15,True,16.590055,0.589737,181,1770972006.649899,1770972008.650279
400,5,-30,True,25.633702,0.383438,181,1770972011.751864,1770972013.753488
600,0,0,False,,,,,
600,1,15,True,7.367403,0.521524,181,1770972152.474485,1770972154.477111
600,2,30,True,24.719780,0.953936,182,1770972157.578494,1770972159.587594
600,3,0,False,,,,,
600,4,-15,True,15.092222,0.814221,180,1770972167.745035,1770972169.755475
600,5,-30,True,22.957692,0.459186,182,1770972172.856894,1770972174.863918
800,0,0,False,,,,,
800,1,15,True,8.029834,1.036283,181,1770972298.364014,1770972300.364139
800,2,30,True,21.019890,0.676381,181,1770972303.465620,1770972305.474324
800,3,0,False,,,,,
800,4,-15,True,16.447802,0.682837,182,1770972313.628634,1770972315.638969
800,5,-30,True,23.473077,0.356146,182,1770972318.740215,1770972320.745009
999,0,0,False,,,,,
999,1,15,True,8.064286,0.141770,182,1770972455.891371,1770972457.899967
999,2,30,True,23.114835,0.562207,182,1770972461.001705,1770972463.009385
999,3,0,False,,,,,
999,4,-15,True,18.674033,0.380555,181,1770972471.166357,1770972473.171302
999,5,-30,True,24.553297,0.466520,182,1770972476.272511,1770972478.281660
