row,direction,sweep_label,sweep_value,condition_index,test_id,trial_in_condition,xstar,ystar,zstar,X_mm,Y_mm,Z_mm,L0_mm,Area_mm2,E_MPa,n_points_fit
Yx,X,y*,5.0,1,1,1,15.0,5.0,30.0,45.0,15.0,60.0,45.0,900.0,0.016034230146357884,155
Yx,X,y*,5.0,1,2,2,15.0,5.0,30.0,45.0,15.0,60.0,45.0,900.0,0.016151970007386406,154
Yx,X,y*,5.0,1,3,3,15.0,5.0,30.0,45.0,15.0,60.0,45.0,900.0,0.01631383352393959,154
Yx,X,y*,10.0,2,4,1,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.007478241115521453,154
Yx,X,y*,10.0,2,5,2,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.007283595728268375,154
Yx,X,y*,10.0,2,6,3,15.0,10.0,30.0,45.0,30.0,60.0,45.0,1800.0,0.007457346680941465,154
Yx,X,y*,15.0,3,7,1,15.0,15.0,30.0,45.0,45.0,60.0,45.0,2700.0,0.004813147438518471,154
Yx,X,y*,15.0,3,8,2,15.0,15.0,30.0,45.0,45.0,60.0,45.0,2700.0,0.00471723704930782,154
Yx,X,y*,15.0,3,9,3,15.0,15.0,30.0,45.0,45.0,60.0,45.0,2700.0,0.005167592238490705,154
Yx,X,y*,20.0,4,10,1,15.0,20.0,30.0,45.0,60.0,60.0,45.0,3600.0,0.0035558315101196472,154
Yx,X,y*,20.0,4,11,2,15.0,20.0,30.0,45.0,60.0,60.0,45.0,3600.0,0.0035558101842746276,154
Yx,X,y*,20.0,4,12,3,15.0,20.0,30.0,45.0,60.0,60.0,45.0,3600.0,0.0034493417552832486,154
