tag,xstar,cube_side_mm,L0_mm,Area_mm2,test_id,trial_in_xstar,E_MPa,n_points_fit,source_csv
T,5.0,20.0,20.0,400.0,1,1,2.904869562043245,55,T_5_02111448.csv
T,5.0,20.0,20.0,400.0,2,2,2.53228883738884,54,T_5_02111448.csv
T,5.0,20.0,20.0,400.0,3,3,2.4030065391677122,54,T_5_02111448.csv
T,6.0,24.0,24.0,576.0,1,1,2.078572767200152,64,T_6_02111507.csv
T,6.0,24.0,24.0,576.0,2,2,2.15405073664224,65,T_6_02111507.csv
T,6.0,24.0,24.0,576.0,3,3,2.100150335374615,64,T_6_02111507.csv
T,7.0,28.0,28.0,784.0,1,1,1.6440825010390285,72,T_7_02111525.csv
T,7.0,28.0,28.0,784.0,2,2,1.648109873199234,74,T_7_02111525.csv
T,7.0,28.0,28.0,784.0,3,3,1.6284298269908906,74,T_7_02111525.csv
T,8.0,32.0,32.0,1024.0,1,1,1.1250944171621797,84,T_8_02111547.csv
T,8.0,32.0,32.0,1024.0,2,2,1.0478801762031205,84,T_8_02111547.csv
T,8.0,32.0,32.0,1024.0,3,3,1.0290354065979574,84,T_8_02111547.csv
