file,stem,prefix,sample_type,mode,condition,specimen,speed_mm_min,loop_ok,gap_x0_mm,eps_max,peak_stress_MPa,energy_loss_density_MJ_m3,modulus_MPa,modulus_type
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,1,300,True,0.0,0.408262570090592,0.009471045600043422,0.00030328564025951005,0.018094167906773314,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,1,150,True,0.0,0.4023070742934933,0.008602142333984356,0.0002988248557441559,0.017095599680169438,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,1,50,True,0.0,0.40168485831469336,0.007819599575466579,0.0002734355215956687,0.015743563210134003,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,2,300,True,0.0,0.4083514580875627,0.010490417480468757,0.0003478348055970146,0.018455372940942218,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,2,150,True,0.0,0.402129298299552,0.009505483839246978,0.00032432168321537937,0.01737071711297684,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,2,50,True,0.0,0.401773746311664,0.008675257364908845,0.0002943629056385538,0.016094509488506492,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,3,300,True,0.0,0.4081736820936213,0.009043481614854623,0.0003123980952969611,0.018448786906919503,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,3,150,True,0.0,0.402129298299552,0.008242395189073333,0.00029940036298497575,0.017426805681083405,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,A,3,50,True,0.0,0.401773746311664,0.007497469584147156,0.0002736872655416439,0.015958924630457984,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,1,300,True,0.0,0.4083514580875627,0.012494723002115866,0.0002739955465013983,0.025598117236799788,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,1,150,True,0.0,0.4023959622904667,0.0116782718234592,0.000295869766580919,0.024850213490516228,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,1,50,True,0.0,0.401773746311664,0.010909504360622845,0.0002980018430673466,0.023543202445651067,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,2,300,True,0.0,0.4081736820936213,0.013151168823242179,0.0002928937203405219,0.02681555003578341,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,2,150,True,0.0,0.4022181862965227,0.01225895351833769,0.0003140849634037631,0.02596036321732136,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,2,50,True,0.0,0.401773746311664,0.011483298407660578,0.0003114191760944468,0.024534590379101905,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,3,300,True,0.0,0.4083514580875627,0.0123702155219184,0.00028388960632780817,0.026445162435911256,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,3,150,True,0.0,0.4023959622904667,0.011498133341471335,0.00030065815259738555,0.025623989138071245,loading_0-0.5eps_at_sigmax
MT_0122_1502.csv,MT_0122_1502,MT,MUSCLE,tension,B,3,50,True,0.0,0.40168485831469336,0.010750028822157112,0.0003028260091722903,0.02413112804066427,loading_0-0.5eps_at_sigmax
